,Category,Resume,num_unique_words,avg_word_length,num_tech_keywords,has_management_terms,has_degree,num_certs,num_langs,word_count,vocab_density
0,data science,programming language python panda numpy scipy scikitlearn matplotlib sql java javascriptjquery machine learning regression svm bayes knn random forest decision tree boosting technique cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch dcjs plotly kibana matplotlib ggplot tableau others regular expression html cs angular logstash kafka python flask git docker computer vision open cv understanding deep learningeducation detail data science assurance associate data science assurance associate ernst young llp skill detail javascript exprience month jquery exprience month python exprience monthscompany detail company ernst young llp fraud investigation dispute service assurance technology assisted review tar technology assisted review assist accelerating review process run analytics generate report core member team helped developing automated review platform tool scratch assisting e discovery domain tool implement predictive coding topic modelling automating review resulting reduced labor cost time spent lawyer review understand end end flow solution research development classification model predictive analysis mining information present text data worked analyzing output precision monitoring entire tool tar assist predictive coding topic modelling evidence following ey standard developed classifier model order identify red flag fraudrelated issue tool technology python scikitlearn tfidf cosine similarity bayes lda nmf topic modelling vader text blob sentiment analysis matplot lib tableau dashboard reporting multiple data science analytic project usa client text analytics motor vehicle customer review data received customer feedback survey data past one year performed sentiment positive negative neutral time series analysis customer comment across category created heat map term survey category based frequency word extracted positive negative word across survey category plotted word cloud created customized tableau dashboard effective reporting visualization chatbot developed user friendly chatbot one product handle simple question hour operation reservation option chat bot serf entire product related question giving overview tool via qa platform also give recommendation response user question build chain relevant answer intelligence build pipeline question per user requirement asks relevant recommended question tool technology python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikitlearn javascriptjquery sqlserver information governance organization make informed decision information store integrated information governance portfolio synthesizes intelligence across unstructured data source facilitates action ensure organization best positioned counter information risk scan data multiple source format parse different file format extract meta data information push result indexing elastic search created customized interactive dashboard using kibana preforming rot analysis data give information data help identify content either redundant outdated trivial preforming fulltext search analysis elastic search predefined method tag pii personally identifiable information social security number address name etc frequently targeted cyberattacks tool technology python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag case fap fraud analytics investigative platform inbuilt case manager suite analytics various erp system used client interrogate accounting system identifying anomaly indicator fraud running advanced analytics tool technology html javascript sqlserver jquery cs bootstrap nodejs dcjs,5.720311776607412,6.925,3.5263605246161616,0,0,0,6,6.175867270105761,0.6333333333333333
1,data science,education detail uitrgpv data scientist data scientist matelabs skill detail python exprience less year month statsmodels exprience month aws exprience less year month machine learning exprience less year month sklearn exprience less year month scipy exprience less year month kera exprience less year monthscompany detail company matelabs ml platform business professional dummy enthusiast koramangala block achievementstasks behind sukh sagar bengaluru india developed deployed auto preprocessing step machine learning mainly missing value treatment outlier detection encoding scaling feature selection dimensionality reduction deployed automated classification regression model linkedincominadityarathore reasearch deployed time series forecasting model arima sarimax holtwinter prophet worked metafeature extracting problem githubcomrathorology implemented state art research paper outlier detection mixed attribute company matelabs,4.356708826689592,7.366071428571429,1.9459101490553132,0,0,0,2,4.727387818712341,0.6875
2,data science,area interest deep learning control system design programming inpython electric machinery web development analytics technical activity q hindustan aeronautics limited bangalore week guidance mr satish senior engineer hangar mirage fighter aircraft technical programming matlab python java labview python webframeworkdjango flask ltspiceintermediate language mipowerintermediate github gitbash jupyter notebook xampp mysqlbasics python software package interpretersanaconda pycharm java ideeclipse operating system window ubuntu debiankali linux education detail btech electrical electronics engineering manipal institute technology deeksha center little flower public school manipal academy higher data science data science electrical enthusiast skill detail data analysis exprience less year month excel exprience less year month machine learning exprience less year month mathematics exprience less year month python exprience less year month matlab exprience less year month electrical engineering exprience less year month sql exprience less year monthscompany detail company themathcompany currently working casino based operatorname disclosed macaui need segment customer visit property based value patron bring companybasically prove segmentation done much better way current system proper number back uphenceforth implement target marketing strategy attract customer add value business,4.820281565605037,7.104651162790698,2.8903717578961645,0,1,0,6,5.153291594497779,0.7151162790697675
3,data science,r python sap hana tableau sap hana sql sap hana pal m sql sap lumira c linear programming data modelling advance analytics scm analytics retail analytics medium analytics nlp education detail pgdm business analytics great lake institute management illinois institute technology bachelor engineering electronics communication bengaluru karnataka new horizon college engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill detail linear programming exprience month retail exprience month retail marketing exprience month scm exprience month sql exprience less year month deep learning exprience less year month machine learning exprience less year month python exprience less year month r exprience less year monthscompany detail company deloitte usi involved analysing historic deal coming insight optimize future deal role given raw data carried end end analysis presented insight client key extract data client system across geography understand build report tableau infer meaningful insight optimize price find process blockade technical environment r tableau industry cross industry service area cross industry product name handwriting recognition consultant month involved taking handwritten image converting digital text image object detection sentence creation role developing sentence correction functionality key gather data large enough capture english word train lstm model word technical environment python industry finance service area financial service bi development name swift consultant month develop analytics infrastructure top sap would user view financial report respective department reporting also included forecasting expense role leading offshore team key design develop data model reporting develop etl data flow validate various report technical environment sap hana tableau sap ao industry healthcare analytics service area life science product development name clinical healthcare system consultant month develop analytics infrastructure top argus would allow user query faster provide advance analytics capability role involved design deploy phase performed lot data restructuring built model insight key design develop data model reporting develop deploy analytical model validate various report technical environment data modelling sap hana tableau nlp industry fmcg service area trade promotion name consumption based planning flower food consultant month involved setting crm cbp module role involved key data decomposition activity setting base future year forecast course developed various model carried key performance improvement key design develop hana model decomposition develop data flow forecast developed various view reporting customersalesfunds validate various report bobj technical environment data modelling sap hana bobj time series forecasting internal initiative industry fmcg customer segmentation rfm analysis consultant month initiative involved setting hanapython interface advance analytics python course successfully segmented data five core segment using kmeans carried rfm analysis python also developed algorithm categorize new customer defined bucket technical environment hana industry telecom invoice state detection consultant month initiative reduce manual effort verifying closed open invoice manually involved development decision tree classify openclosed invoice enabled effort reduction technical environment r sap pal sap hana accenture industry analytics cross industry process analytics sap senior developer month accenture solution pvt ltd india involved development sap analytics tool process analytics ipa role develop database object data model provide operational insight client role developed various finance related kpis spearheaded various deployment introduced sap predictive analytics reduce development time reuse functionality kpis prepared production planning report key involved information gather phase designed implemented sap hana data modelling using attribute view analytic view calculation view developed various kpis individually using complex sql script calculation view created procedure hana database took ownership developed dashboard functionality involved building data processing algorithm executed r server cluster analysis technical environment r sap hana tsql industry cross industry accenture testing accelerator sap database developer month accenture solution pvt ltd india role taken care development activity atas tool also completed various deployment product apart activity also actively involved maintenance database server production quality key analyzing business requirement understanding scope getting requirement clarified interacting business transform requirement generate attribute mapping document reviewing mapping specification documentation create update database object like table view stored procedure function package monitored sql server error log application log sql server agent prepared data flow diagram entity relationship diagram using uml responsible designing developing normalization database table performance tuning using sql profiler involved qa uat knowledge transfer support activity technical environment sql server visual studio window server performance monitor sql server profiler c plsql tsql,5.75890177387728,6.731386861313869,4.0943445622221,1,1,0,4,6.530877627725885,0.46131386861313867
4,data science,education detail mca ymcaust faridabad haryana data science internship skill detail data structure exprience less year month c exprience less year month data analysis exprience less year month python exprience less year month core java exprience less year month database management exprience less year monthscompany detail company itechpower,3.258096538021482,6.125,1.6094379124341003,0,0,0,3,3.8918202981106265,0.5208333333333334
5,data science,c basic iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place btecheducation detail btech ghatkesar andhra pradesh aurora scientific technological institute secondary education warangal telangana sr junior college data science skill detail m office exprience less year month c exprience less year month machine learning exprience less year month data science exprience less year month matlab exprience less year monthscompany detail company,3.828641396489095,6.402777777777778,2.0794415416798357,0,1,0,4,4.290459441148391,0.625
6,data science,python tableau data visualization r studio machine learning statistic iabac certified data scientist versatile year managing business data science consulting leading innovation project bringing business idea working real world solution strong advocator augmented era human capability enhanced machine fahed passionate bringing business concept area machine learning ai robotics etc real life solutionseducation detail b tech computer science engineering mohali punjab indo global college engineering data science consultant data science consultant datamites skill detail machine learning exprience month python exprience month solution exprience month data science exprience month data visualization exprience month tableau exprience monthscompany detail company datamites analyzed processed complex data set using advanced querying visualization analytics tool responsible loading extracting validation client data worked manipulating cleaning processing data using python used tableau data visualization company heretic solution pvt ltd worked closely business identify issue used data propose solution effective decision making manipulating cleansing processing data using python excel r analyzed raw data drawing conclusion developing recommendation used machine learning tool statistical technique produce solution problem,4.61512051684126,7.0,2.4849066497880004,0,0,1,2,5.117993812416755,0.6024096385542169
7,data science,education detail btech rayat bahra institute engineering biotechnology data science data science skill detail numpy exprience less year month machine learning exprience less year month tensorflow exprience less year month scikit exprience less year month python exprience less year month gcp exprience less year month panda exprience less year month neural network exprience less year monthscompany detail company wipro bhawana aggarwal emailbhawanachdgmailcom phone vversatile highenergy professional targeting challenging assignment machine profile professional knowledge year wipro technology machine learning deep learning data science python software development skilled managing endtoend development software product project inception requirement spec planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithm neural network nlp gcp knowledge python library like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learning like knn decision tree bias variance trade support vector machinesvmlogistic regression neural network knowledge unsupervised supervised reinforcement data programming relational platform like mysqloracle knowledge programming language like cjava cloud based environment like google cloud working different operating system like linux ubuntu window good interpersonal communication problem solving ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability technical programming language python c library seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network k mean clustering tensorflow svm database sql oracle operating system linux window development environment netbeans notebook sublime ticketing tool service remedy education ug education btech computer science rayat bahra institute engineering biotechnology passed schooling xii moti ram arya sr secondary schoolpassed x valley public school passed cgpa experince title wipro neural intelligence platform team size brief neural intelligence platform harness power automation artificial intelligence language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform easily access manage multiple structured unstructured data source assessment engine includes sentiment predictive analytics deep machine learning engine sense act learn time entailed automating response user query earliest monster bot using power deep machine learning nlp handle query user see query answered quickly like activity eliminated entity extractor involves text extraction nlp fetching important information text like date name place contact number etc involves regex bluemix nlu machine learning using tensor flow learning new entity classifier involves classification class training dataset predicting output using sklearn classifier mnb svm sgd classifier sgd optimization map user query best suited response make system efficient ner deep learning ner model trained extract entity text entity like role organization extracted raw text rnnlstm bidirectional model trained extracting entity using kera tensorflow framework project title diabetes detection brief developed software detect whether person suffering diabetes got third prize training certification title python training machine learning data science deep learning udemy coursera machine learning deep learning personal profile name mr tirlok aggarwal language known english hindi marital status single date f company wipro developing program python company wipro title wipro neural intelligence platform team size brief neural intelligence platform harness power automation artificial intelligence language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform easily access manage multiple structured unstructured data source assessment engine includes sentiment predictive analytics deep machine learning engine sense act learn time entailed automating response user query earliest monster bot using power deep machine learning nlp handle query user see query answered quickly like activity eliminated entity extractor involves text extraction nlp fetching important information text like date name place contact number etc involves regex bluemix nlu machine learning using tensor flow learning new entity classifier involves classification class training dataset predicting output using sklearn classifier mnb svm sgd classifier sgd optimization map user query best suited response make system efficient ner deep learning ner model trained extract entity text entity like role organization extracted raw text rnnlstm bidirectional model trained extracting entity using kera tensorflow framework company wipro technology professional knowledge year wipro technology machine learning deep learning data science python software development skilled managing endtoend development software product project inception requirement spec planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithm neural network nlp gcp knowledge python library like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learning like knn decision tree bias variance trade support vector machinesvmlogistic regression neural network knowledge unsupervised supervised reinforcement data programming relational platform like mysqloracle knowledge programming language like cjava cloud based environment like google cloud working different operating system like linux ubuntu window good interpersonal communication problem solving ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability,5.60947179518496,6.86429512516469,4.02535169073515,1,1,5,6,6.633318433280377,0.3583662714097497
8,data science,personal ability quickly grasp technical aspect willingness learn high energy level result oriented education detail master engineering computer technology application bhopal madhya pradesh truba institute engineering information technology computer science bhopal madhya pradesh rkdf institute science technology college engineering polytechnic information technology vidisha madhya pradesh sati engineering college vidisha mtech thesis detail bmch school ganj basoda data science six month data science key machine learning deep leaning nlp python sql web scraping good knowledge computer subject ability update skill detail machine learning deep learning nlp python sql web crawling htmlcss exprience less year monthscompany detail company rntai technology solution text classification using machine learning algorithm python practical knowledge deep learning algorithm  recurrent neural networksrnn develop custom data model algorithm apply dataset python package like panda scikitlearn tensor flow numpy matplotliv nltk comfort sql  mysql sentiment analysis  apply leave dataset using classification technique like tfidf lsa cosine similarity using machine learning algorithm web crawling using selenium web driver beautiful soup python company life insurance corporation india bhopal explaining policy feature benefit updated knowledge life insurance product shared customer,4.736198448394496,6.785310734463277,2.772588722239781,1,1,0,5,5.181783550292085,0.6384180790960452
9,data science,expertise data quantitative analysis decision analytics predictive modeling datadriven personalization kpi dashboard big data query interpretation data mining visualization tool machine learning algorithm business intelligence bi research report forecast education detail pgp data science mumbai maharashtra aegis school data science business electronics communication electronics communication indore madhya pradesh y ip academy data scientist data scientist pr canada skill detail algorithm exprience month bi exprience month business intelligence exprience month machine learning exprience month visualization exprience month spark exprience month python exprience month tableau exprience month data analysis exprience monthscompany detail company aegis school data science business mostly working industry providing solution along teaching appointment teach undergraduate graduatelevel course spark machine learning adjunct faculty member aegis school data science mumbai present company aegis school data business data science intern furnish executive leadership team insight analytics report recommendation enabling effective strategic planning across business unit distribution channel product line chat bot using aws lex tensor flow python goal creates chat bot academic institution university handle query related course offered institute task reduce human effort well reduce man made error even company handle client case company academic institution client participant student web scraping using selenium web driver python task scrap data online messaging portal text format find pattern form data visualization data insight hadoop eco system hive pyspark qliksense goal build business solution internet service provider company like handling data generated per day basis visualize data find usage pattern form generate report image based fraud detection microsoft face api pyspark open cv main goal recognize similarity face given database image face recognition recognizing special face set different face face extracted compared database image image recognized person already applied loan somewhere else hiding identity going prevent fraud initial stage churn analysis internet service provider r python machine learning hadoop identify customer likely churn given period time pretend customer giving incentive offer sentiment analysis python nlp apache spark service ibm bluemix highly emphasis tweet twitter data taken mobile network service provider sentiment analysis analyze whether expressed opinion positive negative neutral capture emotion tweet comparative analysis quantifiable result mentored data science enthusiast year since gone graduate school data science business analytics reviewed evaluated research paper data science one largest data science conference called data science congress aegis school business mumbai heading solution providing called data science delivered aegis school data science mumbai managed live project using data science technique working social cause help data science social good committee team developed product called let find missing child helping society company ibm india pvt ltd mostly worked blumix ibm watson data science,5.541263545158426,6.518867924528302,2.9444389791664403,1,1,0,2,6.052089168924417,0.5990566037735849
